WELLNESS_life_satisfaction,DEMO_household_income,WORK_hours_per_week,CONNECTION_social_num_close_friends_p3m
6,"$15,000 to $19,999",7,NA
NA,NA,NA,NA
NA,NA,NA,NA
4,"$20,000 to $24,999",0,5
7,NA,NA,NA
8,"$25,000 to $29,999",10,NA
8,NA,NA,NA
4,"$5,000 to $9,999",0,NA
8,"$30,000 to $34,999",0,NA
2,"$50,000 to $59,999",0,NA
4,NA,NA,NA
4,NA,NA,NA
5,"$110,000 to $119,999",35,NA
6,"$60,000 to $69,999",NA,3
10,"$20,000 to $24,999",0,8
5,"$20,000 to $24,999",0,0
6,"$110,000 to $119,999",NA,4
3,Presented but no response,0,0
NA,NA,NA,NA
3,"$80,000 to $89,999",40,NA
6,"$15,000 to $19,999",0,1
3,"$30,000 to $34,999",0,0
6,"$40,000 to $44,999",30,6
3,"Under $5,000",8,NA
8,"$150,000 to $159,999",NA,2
NA,NA,NA,NA
NA,NA,NA,NA
5,"$70,000 to $79,999",0,9
8,"Under $5,000",20,NA
9,NA,NA,NA
9,"$140,000 to $149,999",45,10
8,"$150,000 to $159,999",0,2
NA,NA,NA,NA
6,"$50,000 to $59,999",35,NA
NA,NA,NA,NA
3,"$35,000 to $39,999",0,1
4,"$60,000 to $69,999",0,NA
9,"$80,000 to $89,999",10,0
6,"Under $5,000",6,NA
NA,NA,NA,NA
8,Presented but no response,NA,NA
NA,NA,NA,NA
6,NA,NA,NA
NA,NA,NA,NA
5,"$60,000 to $69,999",15,NA
1,"$40,000 to $44,999",45,0
6,"$10,000 to $14,999",0,3
7,NA,NA,NA
NA,NA,NA,NA
7,NA,NA,NA
7,"$5,000 to $9,999",10,5
NA,NA,NA,NA
7,NA,NA,6
6,"$25,000 to $29,999",0,2
NA,NA,NA,NA
7,"$10,000 to $14,999",3,NA
6,"$15,000 to $19,999",NA,5
7,"$40,000 to $44,999",12,NA
10,"$15,000 to $19,999",40,NA
7,"$15,000 to $19,999",60,NA
8,"$170,000 to $179,999",NA,0
7,NA,NA,NA
10,NA,NA,NA
4,"$35,000 to $39,999",0,3
5,"$45,000 to $49,999",NA,20
6,"$50,000 to $59,999",50,NA
8,"$100,000 to $109,999",8,NA
9,"$60,000 to $69,999",38,0
10,"$5,000 to $9,999",NA,6
6,NA,NA,0
NA,Presented but no response,NA,NA
10,"$110,000 to $119,999",0,6
6,"$30,000 to $34,999",5,NA
8,"$50,000 to $59,999",0,NA
5,NA,NA,NA
7,NA,NA,NA
8,NA,NA,NA
8,"$20,000 to $24,999",NA,2
8,"$15,000 to $19,999",NA,0
7,NA,NA,NA
6,"$70,000 to $79,999",7,NA
NA,NA,NA,NA
5,"$90,000 to $99,999",20,NA
10,"$35,000 to $39,999",40,NA
7,"$50,000 to $59,999",0,2
NA,NA,NA,NA
NA,NA,NA,NA
7,"$60,000 to $69,999",0,3
4,"$15,000 to $19,999",0,2
NA,NA,NA,NA
5,NA,NA,NA
9,Presented but no response,28,NA
2,"$70,000 to $79,999",NA,0
8,"$40,000 to $44,999",32,NA
8,"$120,000 to $129,999",30,3
NA,NA,NA,NA
5,NA,NA,NA
NA,NA,NA,NA
7,"$50,000 to $59,999",0,0
NA,NA,NA,NA
7,"$10,000 to $14,999",3,NA
NA,NA,NA,NA
3,"$10,000 to $14,999",NA,4
7,NA,NA,7
7,"$20,000 to $24,999",0,0
1,NA,NA,NA
9,"$50,000 to $59,999",NA,2
NA,NA,NA,NA
4,"$20,000 to $24,999",120,NA
3,NA,NA,NA
10,"$70,000 to $79,999",37,2
4,"$50,000 to $59,999",0,NA
3,Presented but no response,0,NA
6,NA,NA,NA
NA,NA,NA,NA
9,"$100,000 to $109,999",NA,NA
8,"$30,000 to $34,999",35,NA
7,NA,NA,NA
8,"$50,000 to $59,999",3,2
4,"$170,000 to $179,999",25,5
6,NA,NA,NA
7,"$5,000 to $9,999",5,NA
8,Presented but no response,20,3
9,"$120,000 to $129,999",0,5
9,NA,NA,NA
NA,NA,NA,NA
4,"$25,000 to $29,999",0,5
1,"$15,000 to $19,999",NA,4
6,"$80,000 to $89,999",20,NA
4,"$5,000 to $9,999",0,NA
NA,NA,NA,NA
5,"$45,000 to $49,999",7,20
9,NA,NA,NA
NA,NA,NA,NA
7,NA,NA,NA
7,"$90,000 to $99,999",0,NA
8,NA,NA,NA
NA,NA,NA,NA
4,"$15,000 to $19,999",0,1
6,NA,NA,NA
6,"$60,000 to $69,999",58,NA
7,NA,NA,NA
8,"$110,000 to $119,999",16,NA
NA,NA,NA,NA
2,"$20,000 to $24,999",20,1
3,"$40,000 to $44,999",8,20
NA,NA,NA,NA
6,"$60,000 to $69,999",15,NA
10,"$10,000 to $14,999",8,NA
2,"$10,000 to $14,999",6,NA
3,"$100,000 to $109,999",28,NA
NA,NA,NA,NA
7,"$10,000 to $14,999",0,2
NA,NA,NA,NA
4,"$100,000 to $109,999",0,NA
5,"$45,000 to $49,999",NA,20
7,"$110,000 to $119,999",36,4
5,"$20,000 to $24,999",NA,2
6,"$110,000 to $119,999",NA,5
8,"$80,000 to $89,999",40,1
7,"$30,000 to $34,999",25,NA
7,"$70,000 to $79,999",0,4
7,Presented but no response,NA,5
6,"$35,000 to $39,999",NA,0
9,"$80,000 to $89,999",0,1
6,"$90,000 to $99,999",NA,90
7,"$80,000 to $89,999",8,NA
4,"$30,000 to $34,999",2,NA
4,"$45,000 to $49,999",0,2
6,"$15,000 to $19,999",10,1
7,"$70,000 to $79,999",NA,4
7,"$15,000 to $19,999",NA,NA
7,"$150,000 to $159,999",40,0
7,Presented but no response,NA,NA
NA,NA,NA,NA
7,"$50,000 to $59,999",45,0
5,"$40,000 to $44,999",25,NA
9,"$100,000 to $109,999",7,NA
8,"$5,000 to $9,999",NA,20
7,"Under $5,000",40,1
5,"$20,000 to $24,999",35,1
5,Presented but no response,NA,NA
6,Presented but no response,NA,3
5,"$100,000 to $109,999",NA,0
1,"$30,000 to $34,999",0,NA
8,"$150,000 to $159,999",32,NA
10,"$20,000 to $24,999",0,4
8,"$50,000 to $59,999",35,NA
6,"$100,000 to $109,999",30,0
10,NA,NA,NA
5,"$30,000 to $34,999",0,1
6,"$130,000 to $139,999",30,NA
7,"$80,000 to $89,999",NA,3
1,"$30,000 to $34,999",4,NA
8,Presented but no response,0,1
6,"$20,000 to $24,999",36,1
7,NA,NA,NA
3,"$90,000 to $99,999",0,NA
4,"$40,000 to $44,999",NA,150
NA,NA,NA,NA
8,"$60,000 to $69,999",10,3
8,"$25,000 to $29,999",NA,2
7,"$200,000 or more",45,3
7,"$200,000 or more",NA,8
7,"$200,000 or more",40,10
5,"$45,000 to $49,999",7,20
8,NA,NA,NA
3,"$20,000 to $24,999",0,0
8,NA,NA,NA
10,NA,NA,NA
8,"$200,000 or more",36.3,NA
NA,NA,NA,1
8,NA,NA,NA
8,Presented but no response,NA,0
7,"$80,000 to $89,999",63,150
4,"$90,000 to $99,999",50,2
7,"$70,000 to $79,999",40,NA
NA,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
6,"$10,000 to $14,999",NA,1
3,NA,NA,NA
8,"$50,000 to $59,999",25,3
6,"$80,000 to $89,999",NA,9
NA,NA,NA,NA
5,"$40,000 to $44,999",0,6
9,"$100,000 to $109,999",NA,9
7,"$140,000 to $149,999",NA,5
7,NA,NA,NA
8,NA,NA,NA
NA,NA,NA,NA
4,"$20,000 to $24,999",6,NA
1,"$30,000 to $34,999",2,NA
5,"$50,000 to $59,999",NA,3
NA,NA,NA,NA
6,Presented but no response,0,NA
7,"$150,000 to $159,999",30,NA
NA,NA,NA,NA
7,NA,NA,NA
9,"$200,000 or more",35,1
7,"$60,000 to $69,999",0,6
10,Presented but no response,NA,NA
10,"$20,000 to $24,999",0,0
NA,NA,NA,NA
4,"$200,000 or more",NA,4
9,NA,NA,NA
5,"$15,000 to $19,999",30,NA
NA,NA,NA,NA
1,"$25,000 to $29,999",NA,0
4,Presented but no response,20,NA
8,"$60,000 to $69,999",35,3
NA,NA,NA,NA
4,"$20,000 to $24,999",NA,5
9,"$100,000 to $109,999",NA,6
4,"$180,000 to $189,999",35,NA
5,"$50,000 to $59,999",NA,0
NA,NA,NA,2
5,NA,NA,NA
NA,NA,NA,NA
4,"$20,000 to $24,999",30,NA
9,"$30,000 to $34,999",20,NA
4,"$100,000 to $109,999",NA,3
NA,NA,NA,NA
8,"$110,000 to $119,999",0,3
7,NA,NA,NA
3,"$50,000 to $59,999",0,NA
8,NA,NA,NA
5,"$20,000 to $24,999",0,0
5,"$35,000 to $39,999",20,NA
8,"$20,000 to $24,999",NA,0
9,NA,NA,NA
9,NA,NA,NA
8,"$70,000 to $79,999",40,2
5,"$25,000 to $29,999",30,NA
3,"$80,000 to $89,999",40,NA
1,"$60,000 to $69,999",NA,NA
NA,NA,NA,NA
8,"$160,000 to $169,999",37,1
NA,NA,NA,NA
6,NA,NA,NA
1,Presented but no response,0,NA
6,NA,NA,NA
7,NA,NA,NA
6,"$25,000 to $29,999",0,NA
8,NA,NA,NA
8,NA,NA,3
7,NA,NA,5
7,"$60,000 to $69,999",NA,NA
6,"$60,000 to $69,999",NA,1
9,NA,NA,NA
8,NA,NA,NA
1,NA,NA,NA
4,"$45,000 to $49,999",12,NA
NA,NA,NA,NA
NA,NA,NA,NA
7,"$110,000 to $119,999",12,NA
10,"$35,000 to $39,999",30,NA
6,"$45,000 to $49,999",0,2
10,"$50,000 to $59,999",35,4
NA,NA,NA,NA
7,"$110,000 to $119,999",45,NA
10,"$25,000 to $29,999",0,NA
NA,NA,NA,NA
1,"$60,000 to $69,999",35,NA
7,Presented but no response,30,5
NA,"$15,000 to $19,999",NA,3
6,NA,NA,NA
4,Presented but no response,0,NA
8,"$100,000 to $109,999",40,NA
2,"$70,000 to $79,999",NA,5
5,"$50,000 to $59,999",NA,5
9,"$160,000 to $169,999",32,NA
2,"$10,000 to $14,999",1,0
6,NA,NA,NA
NA,NA,NA,NA
7,"$80,000 to $89,999",50,NA
7,"$90,000 to $99,999",32,5
3,"$20,000 to $24,999",NA,4
10,NA,NA,NA
7,"$110,000 to $119,999",NA,4
8,Presented but no response,35,NA
7,"$200,000 or more",NA,NA
3,"$25,000 to $29,999",0,2
7,"$80,000 to $89,999",NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
8,NA,0,NA
2,"$80,000 to $89,999",0,NA
6,"$35,000 to $39,999",NA,1
NA,NA,NA,NA
NA,NA,NA,NA
10,NA,NA,NA
7,NA,NA,NA
3,"$100,000 to $109,999",38,0
8,"$130,000 to $139,999",30,6
NA,NA,NA,NA
8,"$180,000 to $189,999",NA,8
6,"$60,000 to $69,999",34,3
5,"$35,000 to $39,999",3,NA
NA,NA,NA,NA
7,"$40,000 to $44,999",0,4
9,NA,NA,NA
8,NA,NA,NA
8,NA,NA,NA
3,"$140,000 to $149,999",40,NA
5,"$170,000 to $179,999",0,2
NA,NA,NA,NA
4,"$30,000 to $34,999",0,1
6,"$50,000 to $59,999",50,NA
NA,NA,NA,NA
7,"Under $5,000",8,NA
9,NA,NA,NA
1,"$10,000 to $14,999",NA,5
8,"$130,000 to $139,999",45,NA
7,NA,NA,NA
8,NA,NA,NA
8,NA,NA,NA
8,"$40,000 to $44,999",0,4
2,"$5,000 to $9,999",NA,NA
4,NA,NA,NA
1,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
8,NA,NA,3
8,NA,NA,NA
NA,NA,NA,NA
5,"$10,000 to $14,999",NA,5
NA,NA,NA,NA
NA,NA,NA,NA
7,Presented but no response,40,5
10,"$40,000 to $44,999",35,NA
NA,NA,NA,NA
5,"$45,000 to $49,999",NA,20
6,NA,NA,NA
NA,NA,NA,NA
NA,NA,NA,NA
5,"$20,000 to $24,999",2,NA
8,"$30,000 to $34,999",NA,4
4,"$80,000 to $89,999",4,NA
8,"$140,000 to $149,999",40,4
6,"$35,000 to $39,999",35,NA
7,"$25,000 to $29,999",0,0
5,"$110,000 to $119,999",NA,3
6,"$35,000 to $39,999",NA,2
4,"$60,000 to $69,999",NA,1
6,"$25,000 to $29,999",NA,NA
8,"$20,000 to $24,999",NA,6
6,"$25,000 to $29,999",NA,2
6,"$100,000 to $109,999",8,NA
8,"$70,000 to $79,999",0,8
NA,NA,NA,150
NA,NA,NA,NA
7,NA,NA,NA
7,"$10,000 to $14,999",0,NA
6,"$20,000 to $24,999",0,2
5,NA,NA,NA
7,NA,NA,2
7,"$25,000 to $29,999",0,1
6,"$70,000 to $79,999",NA,2
6,"$90,000 to $99,999",40,2
8,"$45,000 to $49,999",40,NA
6,"$40,000 to $44,999",38,4
NA,NA,NA,NA
1,"$40,000 to $44,999",NA,0
7,"$150,000 to $159,999",5,3
7,"$50,000 to $59,999",43,2
6,"$80,000 to $89,999",45,3
7,"$200,000 or more",NA,15
NA,NA,NA,10
8,"$60,000 to $69,999",NA,2
NA,NA,NA,NA
10,"$30,000 to $34,999",42,NA
9,"$70,000 to $79,999",NA,20
10,"$30,000 to $34,999",0,7
4,"$100,000 to $109,999",40,NA
10,"$45,000 to $49,999",NA,150
8,"$35,000 to $39,999",0,NA
6,"$40,000 to $44,999",NA,2
2,"$5,000 to $9,999",NA,NA
NA,NA,NA,NA
1,"$30,000 to $34,999",0,0
3,"$35,000 to $39,999",NA,3
NA,NA,NA,NA
9,"$190,000 to $199,999",NA,4
7,"$20,000 to $24,999",8,NA
2,"$70,000 to $79,999",10,NA
6,"$150,000 to $159,999",0,2
7,"$40,000 to $44,999",0,1
5,"$30,000 to $34,999",30,2
3,"$80,000 to $89,999",40,NA
7,"$80,000 to $89,999",NA,NA
4,NA,NA,NA
4,"$45,000 to $49,999",35,3
7,NA,30,NA
5,"Under $5,000",NA,0
9,"$25,000 to $29,999",20,30
8,"$60,000 to $69,999",NA,0
4,"$100,000 to $109,999",NA,NA
10,NA,NA,2
8,"$35,000 to $39,999",NA,10
2,"$15,000 to $19,999",2,NA
10,"$20,000 to $24,999",8,NA
6,NA,NA,NA
7,"$200,000 or more",0,NA
9,NA,NA,NA
8,NA,NA,NA
7,"$45,000 to $49,999",NA,5
8,"$150,000 to $159,999",NA,6
NA,NA,NA,NA
2,"$120,000 to $129,999",0,1
9,NA,NA,NA
9,NA,NA,NA
7,NA,NA,6
5,Presented but no response,NA,NA
NA,NA,NA,NA
5,"$80,000 to $89,999",0,1
NA,NA,NA,NA
5,NA,NA,NA
5,NA,NA,2
4,"$10,000 to $14,999",NA,2
4,"$30,000 to $34,999",0,1
10,"$110,000 to $119,999",NA,1
6,"$45,000 to $49,999",NA,3
NA,NA,NA,NA
9,"$140,000 to $149,999",6,NA
6,"$10,000 to $14,999",40,NA
6,"$40,000 to $44,999",30,2
NA,NA,NA,NA
5,NA,NA,NA
5,NA,NA,NA
8,"$45,000 to $49,999",0,0
5,"$70,000 to $79,999",0,5
7,"Under $5,000",NA,3
3,"$15,000 to $19,999",0,1
NA,NA,NA,NA
8,"$140,000 to $149,999",28,NA
6,"$25,000 to $29,999",0,4
8,"$10,000 to $14,999",NA,20
8,"$150,000 to $159,999",45,5
7,"$30,000 to $34,999",8,NA
9,"$100,000 to $109,999",38,3
5,NA,NA,NA
9,"$60,000 to $69,999",55,0
6,"$140,000 to $149,999",NA,4
8,"$100,000 to $109,999",8,NA
NA,NA,NA,NA
7,"$130,000 to $139,999",12,2
NA,NA,NA,NA
8,"$60,000 to $69,999",5,NA
9,"$70,000 to $79,999",NA,4
3,"$45,000 to $49,999",2,NA
8,"$150,000 to $159,999",50,NA
7,"$50,000 to $59,999",40,NA
8,"$40,000 to $44,999",8,NA
7,"$150,000 to $159,999",0,NA
5,"$20,000 to $24,999",NA,2
6,NA,NA,100
7,"$150,000 to $159,999",60,4
8,"$15,000 to $19,999",NA,NA
8,"$100,000 to $109,999",25,NA
NA,NA,NA,NA
8,"$25,000 to $29,999",0,3
NA,NA,NA,NA
7,"$80,000 to $89,999",NA,11
5,"$50,000 to $59,999",43,5
5,"$90,000 to $99,999",NA,NA
1,"$45,000 to $49,999",0,NA
6,Presented but no response,40,1
6,"$5,000 to $9,999",NA,10
8,"$35,000 to $39,999",30,6
6,"$5,000 to $9,999",64,0
5,NA,NA,NA
7,"$90,000 to $99,999",NA,7
8,"$70,000 to $79,999",NA,3
6,"$30,000 to $34,999",NA,13
4,NA,NA,NA
6,"$50,000 to $59,999",20,NA
10,NA,NA,NA
5,"$120,000 to $129,999",45,5
2,NA,NA,NA
2,NA,NA,NA
3,"$15,000 to $19,999",0,3
2,"$10,000 to $14,999",0,NA
2,"$90,000 to $99,999",20,NA
8,"$90,000 to $99,999",0,3
NA,NA,NA,NA
1,"$25,000 to $29,999",0,NA
9,"$70,000 to $79,999",NA,5
4,"$200,000 or more",40,6
6,NA,NA,0
7,"$90,000 to $99,999",38,6
NA,NA,NA,NA
NA,NA,NA,NA
7,"$45,000 to $49,999",50,5
8,"$50,000 to $59,999",38,3
5,"$15,000 to $19,999",4,NA
8,"$60,000 to $69,999",0,4
NA,NA,NA,NA
7,"$110,000 to $119,999",NA,10
4,"$70,000 to $79,999",37,1
1,NA,NA,NA
4,"$5,000 to $9,999",0,NA
NA,NA,NA,NA
7,"$180,000 to $189,999",NA,9
5,NA,NA,NA
5,"$60,000 to $69,999",12,NA
NA,NA,NA,NA
8,Presented but no response,NA,3
6,NA,NA,NA
6,"$40,000 to $44,999",0,2
9,"$50,000 to $59,999",38,5
7,"$15,000 to $19,999",60,NA
8,Presented but no response,0,1
NA,NA,NA,NA
9,"$45,000 to $49,999",8,2
1,"$15,000 to $19,999",0,2
6,"$50,000 to $59,999",NA,5
NA,NA,NA,NA
6,"$50,000 to $59,999",9,NA
4,"$70,000 to $79,999",0,NA
7,NA,NA,NA
3,NA,NA,NA
3,"$40,000 to $44,999",20,NA
3,NA,NA,NA
2,"$25,000 to $29,999",NA,NA
10,"$40,000 to $44,999",3,NA
NA,NA,NA,NA
7,"$30,000 to $34,999",NA,6
6,NA,NA,NA
1,Presented but no response,30,NA
8,NA,NA,NA
8,"$100,000 to $109,999",35,1
4,"$80,000 to $89,999",0,2
6,NA,NA,1
7,"$130,000 to $139,999",35,0
8,"$110,000 to $119,999",NA,7
1,"$20,000 to $24,999",28,0
4,"$25,000 to $29,999",0,3
NA,NA,NA,NA
4,"$70,000 to $79,999",NA,15
7,"$15,000 to $19,999",0,3
4,"$25,000 to $29,999",NA,2
10,NA,NA,NA
1,NA,NA,NA
NA,NA,NA,NA
6,"$10,000 to $14,999",NA,3
7,"$20,000 to $24,999",20,NA
4,NA,NA,NA
7,"$50,000 to $59,999",NA,1
NA,NA,NA,NA
8,"$30,000 to $34,999",0,2
5,"$60,000 to $69,999",NA,1
6,"$80,000 to $89,999",36,2
6,NA,NA,NA
9,"$180,000 to $189,999",NA,10
10,"$160,000 to $169,999",NA,NA
7,NA,NA,NA
3,"$45,000 to $49,999",NA,NA
10,"$50,000 to $59,999",3,NA
6,Presented but no response,NA,10
NA,NA,NA,NA
3,"$15,000 to $19,999",0,2
1,"$30,000 to $34,999",50,NA
8,NA,NA,2
NA,NA,NA,NA
8,"$15,000 to $19,999",NA,4
9,"$200,000 or more",18,6
3,NA,NA,NA
8,"$110,000 to $119,999",35,20
8,"$70,000 to $79,999",0,NA
NA,NA,NA,NA
6,"$90,000 to $99,999",35,NA
2,"$30,000 to $34,999",0,2
8,"$130,000 to $139,999",40,2
9,NA,NA,NA
6,"$35,000 to $39,999",0,NA
NA,NA,NA,NA
7,"$10,000 to $14,999",6,NA
3,"$10,000 to $14,999",0,2
NA,NA,NA,NA
5,"$20,000 to $24,999",20,4
7,NA,NA,NA
NA,NA,NA,NA
6,"$30,000 to $34,999",40,NA
10,Presented but no response,8,NA
7,NA,NA,NA
4,NA,NA,2
3,"$30,000 to $34,999",8,NA
6,"$45,000 to $49,999",30,4
9,"$60,000 to $69,999",NA,45
10,"$15,000 to $19,999",NA,2
8,"$50,000 to $59,999",32,2
7,NA,NA,NA
8,Presented but no response,NA,10
NA,NA,NA,NA
5,"$25,000 to $29,999",NA,NA
6,"Under $5,000",NA,0
2,NA,NA,NA
NA,NA,NA,1
8,"$70,000 to $79,999",20,NA
8,"$35,000 to $39,999",0,NA
1,"$190,000 to $199,999",37.5,NA
7,Presented but no response,8,NA
5,NA,NA,NA
2,Presented but no response,0,1
8,Presented but no response,8,NA
5,"$25,000 to $29,999",NA,2
8,NA,NA,NA
4,"$120,000 to $129,999",28,NA
9,NA,NA,NA
8,"$60,000 to $69,999",0,NA
9,NA,NA,NA
7,NA,NA,4
6,Presented but no response,35,NA
7,"$80,000 to $89,999",NA,4
1,"$200,000 or more",NA,0
1,NA,NA,NA
9,Presented but no response,NA,2
NA,NA,NA,NA
6,"$90,000 to $99,999",35,NA
4,NA,NA,NA
7,NA,NA,NA
6,"$25,000 to $29,999",0,NA
8,"$70,000 to $79,999",0,2
6,"$25,000 to $29,999",16,NA
7,"$100,000 to $109,999",16,NA
5,NA,NA,5
NA,NA,NA,NA
9,"$70,000 to $79,999",37,5
9,"$90,000 to $99,999",35,NA
9,NA,NA,NA
9,NA,NA,NA
9,"$100,000 to $109,999",NA,0
10,"$80,000 to $89,999",0,5
4,"$10,000 to $14,999",14,NA
3,"$10,000 to $14,999",NA,2
NA,NA,NA,NA
5,"$30,000 to $34,999",25,1
NA,NA,NA,NA
8,"$10,000 to $14,999",31,NA
7,"$45,000 to $49,999",NA,4
4,"$50,000 to $59,999",15,NA
10,"$150,000 to $159,999",37,6
7,NA,NA,8
9,"$150,000 to $159,999",NA,NA
7,"$35,000 to $39,999",0,3
NA,NA,NA,NA
9,Presented but no response,NA,1
1,NA,NA,NA
8,Presented but no response,6,NA
7,"$180,000 to $189,999",NA,NA
7,NA,NA,NA
5,"$50,000 to $59,999",36,NA
2,"$45,000 to $49,999",40,NA
8,"$70,000 to $79,999",40,NA
10,"Under $5,000",0,NA
NA,NA,NA,NA
1,"$45,000 to $49,999",30,NA
8,"$50,000 to $59,999",NA,14
8,"$50,000 to $59,999",NA,2
5,"$25,000 to $29,999",0,NA
5,"$30,000 to $34,999",10,2
5,"$150,000 to $159,999",20,4
8,"$20,000 to $24,999",NA,10
6,"$130,000 to $139,999",40,0
7,"$180,000 to $189,999",30,15
7,NA,NA,NA
1,NA,NA,NA
NA,NA,NA,NA
6,"$15,000 to $19,999",40,5
10,"$100,000 to $109,999",NA,6
5,"$35,000 to $39,999",NA,NA
3,"$15,000 to $19,999",0,2
7,"$70,000 to $79,999",NA,1
10,NA,NA,NA
8,NA,NA,NA
7,"$90,000 to $99,999",0,NA
8,NA,NA,NA
5,"$25,000 to $29,999",0,1
3,"$50,000 to $59,999",0,NA
5,"$40,000 to $44,999",0,2
5,"$45,000 to $49,999",7,20
6,"$20,000 to $24,999",6,NA
5,"$50,000 to $59,999",40,1
1,"$10,000 to $14,999",0,8
2,Presented but no response,NA,4
NA,NA,NA,NA
7,"$60,000 to $69,999",40,8
8,"$150,000 to $159,999",40,14
8,"$60,000 to $69,999",20,0
5,"Under $5,000",NA,2
5,"$45,000 to $49,999",NA,20
8,NA,NA,NA
6,"$90,000 to $99,999",0,NA
9,NA,NA,NA
9,"$35,000 to $39,999",NA,2
4,"$20,000 to $24,999",16,NA
7,"$70,000 to $79,999",40,2
3,NA,NA,0
7,"$160,000 to $169,999",40,2
5,"$50,000 to $59,999",NA,1
3,"$60,000 to $69,999",4,NA
NA,NA,NA,NA
8,"$20,000 to $24,999",NA,7
8,"$70,000 to $79,999",NA,3
2,"$200,000 or more",5,NA
6,"$60,000 to $69,999",40,0
NA,NA,NA,8
6,"$50,000 to $59,999",NA,4
9,"$50,000 to $59,999",0,2
NA,NA,NA,NA
7,"$30,000 to $34,999",NA,5
NA,NA,NA,NA
NA,NA,NA,NA
10,NA,NA,NA
8,"$110,000 to $119,999",NA,2
9,NA,NA,NA
6,"$100,000 to $109,999",NA,3
7,"$90,000 to $99,999",0,NA
8,NA,NA,NA
6,NA,NA,NA
3,Presented but no response,NA,NA
5,"$25,000 to $29,999",NA,2
8,NA,NA,NA
7,"$50,000 to $59,999",NA,20
6,"$30,000 to $34,999",40,NA
1,"$50,000 to $59,999",0,NA
2,"$110,000 to $119,999",0,1
5,"$45,000 to $49,999",7,20
10,NA,NA,NA
1,"$50,000 to $59,999",NA,1
8,NA,NA,NA
7,Presented but no response,0,NA
NA,NA,NA,NA
7,"$35,000 to $39,999",NA,2
6,"$15,000 to $19,999",NA,2
1,Presented but no response,NA,1
10,"$120,000 to $129,999",8,10
9,"$80,000 to $89,999",40,NA
5,"$70,000 to $79,999",40,4
6,"$80,000 to $89,999",0,NA
6,"$100,000 to $109,999",35,NA
6,NA,NA,3
4,"$70,000 to $79,999",NA,5
8,"$90,000 to $99,999",45,4
7,"$35,000 to $39,999",35,NA
8,"$150,000 to $159,999",0,7
7,NA,NA,NA
1,"$45,000 to $49,999",0,NA
6,"$45,000 to $49,999",0,5
6,"$70,000 to $79,999",0,0
5,Presented but no response,NA,35
4,"$15,000 to $19,999",NA,0
5,"$140,000 to $149,999",NA,35
7,NA,NA,NA
5,"$30,000 to $34,999",28,1
8,"$130,000 to $139,999",NA,4
8,"$10,000 to $14,999",40,NA
3,"$5,000 to $9,999",0,NA
6,"$100,000 to $109,999",60,7
3,"$50,000 to $59,999",0,0
8,NA,NA,NA
NA,NA,NA,NA
8,"$60,000 to $69,999",NA,7
5,Presented but no response,NA,0
8,"$60,000 to $69,999",0,2
NA,NA,NA,NA
7,"$70,000 to $79,999",37,2
10,"$5,000 to $9,999",NA,6
7,"$90,000 to $99,999",30,NA
9,"$20,000 to $24,999",0,2
NA,NA,NA,NA
4,NA,NA,NA
1,"$60,000 to $69,999",37.5,NA
8,NA,NA,NA
8,"$100,000 to $109,999",0,NA
9,NA,NA,2
8,NA,NA,NA
8,Presented but no response,NA,NA
4,"$20,000 to $24,999",NA,2
10,Presented but no response,36,NA
7,"$90,000 to $99,999",40,2
10,"$40,000 to $44,999",NA,NA
8,NA,12,NA
9,"$190,000 to $199,999",40,6
8,"$50,000 to $59,999",NA,7
5,"$20,000 to $24,999",NA,NA
8,"$30,000 to $34,999",NA,5
NA,NA,NA,5
5,"$110,000 to $119,999",49,NA
7,"$90,000 to $99,999",0,1
4,"$25,000 to $29,999",30,0
8,"$130,000 to $139,999",NA,1
7,"$60,000 to $69,999",NA,7
8,"$120,000 to $129,999",20,NA
8,Presented but no response,NA,1
6,"$20,000 to $24,999",25,5
6,"$70,000 to $79,999",30,NA
8,NA,NA,NA
7,"$60,000 to $69,999",0,NA
9,NA,NA,NA
2,"$150,000 to $159,999",NA,NA
4,"$5,000 to $9,999",0,NA
5,"$70,000 to $79,999",35,NA
3,"$190,000 to $199,999",NA,0
6,"$50,000 to $59,999",3,NA
5,"$35,000 to $39,999",70,2
1,"$5,000 to $9,999",0,NA
1,NA,NA,NA
NA,NA,NA,NA
2,"$110,000 to $119,999",NA,NA
7,"$30,000 to $34,999",NA,2
3,"$25,000 to $29,999",25,NA
5,NA,NA,NA
10,NA,NA,5
NA,NA,NA,NA
8,"$40,000 to $44,999",0,6
1,Presented but no response,40,NA
NA,NA,NA,NA
7,"$40,000 to $44,999",2,NA
10,"$30,000 to $34,999",0,15
7,"$35,000 to $39,999",8,10
4,"$60,000 to $69,999",0,0
7,"$60,000 to $69,999",NA,6
7,"$35,000 to $39,999",40,NA
5,"$10,000 to $14,999",3,NA
6,NA,NA,1
2,Presented but no response,0,NA
7,"$10,000 to $14,999",NA,1
6,"$40,000 to $44,999",0,2
7,"$25,000 to $29,999",NA,5
2,NA,NA,NA
NA,NA,NA,NA
9,"$70,000 to $79,999",NA,38
9,"$100,000 to $109,999",NA,3
8,"$40,000 to $44,999",NA,5
